2025-05-24 08:35:06.178 [info] Starting Python Locator /root/.vscode-server/extensions/ms-python.python-2025.6.1-linux-x64/python-env-tools/bin/pet server
2025-05-24 08:35:08.390 [info] Discovered env: /usr/bin/python2
2025-05-24 08:35:08.579 [info] Discovered env: /usr/bin/python3
2025-05-24 08:35:08.983 [info] Discovered env: /bin/python2
2025-05-24 08:35:08.984 [info] Discovered env: /bin/python3
2025-05-24 08:35:08.985 [info] Locator Conda took 605.52223ms
2025-05-24 08:35:08.985 [info] Locator Homebrew took 169.089µs
2025-05-24 08:35:08.985 [info] Locator LinuxGlobal took 598.780426ms
2025-05-24 08:35:08.985 [info] Locator PipEnv took 5.226637ms
2025-05-24 08:35:08.985 [info] Locator Pixi took 54.216µs
2025-05-24 08:35:08.985 [info] Locator Poetry took 1.70854ms
2025-05-24 08:35:08.985 [info] Locator PyEnv took 957.337µs
2025-05-24 08:35:08.985 [info] Locator Venv took 26.356µs
2025-05-24 08:35:08.985 [info] Locator VirtualEnv took 13.575µs
2025-05-24 08:35:08.985 [info] Locator VirtualEnvWrapper took 88.71µs
2025-05-24 08:35:08.985 [info] Locator GlobalVirtualEnvs took 706.76µs
2025-05-24 08:35:08.985 [info] Locator Locators took 606.393026ms
2025-05-24 08:35:08.985 [info] Locator Path took 710.994993ms
2025-05-24 08:35:08.985 [info] Locator Workspaces took 1.758µs
2025-05-24 08:35:08.985 [info] Refresh completed in 712ms
2025-05-24 08:35:08.990 [info] Resolved Python Environment /root/venv/bin/python
