상품 ID,브랜드,성별,카테고리1,카테고리2,원산지,실패 사유
AB22CK19548C014,MONCLER,K,AB,T-SHIRT Colore unico,MADE IN TURKEY,재고 없음
AB22CK19548C014,MONCLER,K,AB,T-SHIRT Colore unico,MADE IN TURKEY,재고 없음
AB22CK19548C018,MONCLER,K,AB,T-SHIRT Colore unico,MADE IN PORTUGAL,재고 없음
AB22CK19548C018,MONCLER,K,AB,T-SHIRT Colore unico,MADE IN PORTUGAL,재고 없음
AB04X9095XXX001,BORRIELLO NAPOLI,U,AB,SHIRT,MADE IN ITALY,재고 없음
AB04X9095XXX001,BORRIELLO NAPOLI,U,AB,SHIRT,MADE IN ITALY,재고 없음
AB13CEM00110001,EMPORIO ARMANI,U,AB,TROUSERS Colore unico,MADE IN CAMBOGIA,재고 없음
AB13CEM00110001,EMPORIO ARMANI,U,AB,TROUSERS Colore unico,MADE IN CAMBOGIA,재고 없음
AB04CEM00152002,EMPORIO ARMANI,U,AB,SHIRT Colore unico,MADE IN CHINA,재고 없음
AB04CEM00152002,EMPORIO ARMANI,U,AB,SHIRT Colore unico,MADE IN CHINA,재고 없음
AB13XNEPETAX001,MAX MARA,D,AB,TROUSERS,MADE IN ITALY,재고 없음
AB13XNEPETAX001,MAX MARA,D,AB,TROUSERS,MADE IN ITALY,재고 없음
AB08XB9D0052001,AMARANTO,U,AB,VEST,MADE IN ITALY,재고 없음
AB08XB9D0052001,AMARANTO,U,AB,VEST,MADE IN ITALY,재고 없음
AB02CKS10250002,KONGES SLOJD,K,AB,BEACHWEAR,MADE IN CHINA,재고 없음
AB02CKS10250002,KONGES SLOJD,K,AB,BEACHWEAR,MADE IN CHINA,재고 없음
AB22CS05GTSK005,BONPOINT,K,AB,T-SHIRT Colore unico,MADE IN PORTUGAL,재고 없음
AB22CS05GTSK005,BONPOINT,K,AB,T-SHIRT Colore unico,MADE IN PORTUGAL,재고 없음
AB04CKS10230005,KONGES SLOJD,K,AB,SHIRT,MADE IN CHINA,재고 없음
AB04CKS10230005,KONGES SLOJD,K,AB,SHIRT,MADE IN CHINA,재고 없음
AB22XUTS056X001,AMI,U,AB,T-SHIRT,MADE IN PORTUGAL,재고 없음
AB22XUTS056X001,AMI,U,AB,T-SHIRT,MADE IN PORTUGAL,재고 없음
AB03X255JS31001,JACQUEMUS,U,AB,SHORT,MADE IN PORTUGAL,재고 없음
AB03X255JS31001,JACQUEMUS,U,AB,SHORT,MADE IN PORTUGAL,재고 없음
29504211,MC2 Saint Barth,Man,Clothing,Sea clothing,Moldova,원가 없음 또는 0원
29504211,MC2 Saint Barth,Man,Clothing,Sea clothing,Moldova,원가 없음 또는 0원
